zip
005|2bbd8481
centipb2|a6edd0ba|Centipede (bootleg set 2)
centipd2|b5881971|Centipede (revision 2)
centipdb|f21cfa7f|Centipede (bootleg set 1)
centiped|8819cb0f|Centipede (revision 3)
centtime|833df1f8|Centipede (1 player, timed)
cerberus|a46e1a4e|Cerberus
cfghtice|5208666c|Cassette: Fighting Ice Hockey
cgangpzj|d81ffc63|Cosmo Gang the Puzzle (Japan)
cgangpzl|98706152|Cosmo Gang the Puzzle (US)
cgraplop|3adab3e0|Cassette: Graplop (aka Cluster Buster) (set 1)
chaknpop|6d83b0ae|Chack'n Pop
challeng|61e8276b|Challenger
chameleo|9e9b93ae|Chameleon
champbas|b0ef1e19|Champion Baseball
champwr|26b094c9|Champion Wrestler (World)
champwrj|4c26b6ef|Champion Wrestler (Japan)
champwru|ea536ac4|Champion Wrestler (US)
changes|6d04f21e|Changes
chasehq|8aab9ee7|Chase H.Q. (World)
chasehqj|842ffb1a|Chase H.Q. (Japan)
chboxing|e8ac5233|Champion Boxing
checkmaj|fd123f28|Check Man (Japan)
checkman|15939288|Check Man
checkmat|07b85371|Checkmate
cheekyms|53a0706b|Cheeky Mouse
cheesech|719bdda1|Cheese Chase
chelnov|8da114f2|Chelnov - Atomic Runner (World)
